"Ticker","Nome","Negócios","Última (R$)","Variação"
"RSID3","Rossi Residencial","8.400","2,88","-0,35%"
"RNEW11","Renova Energia","8.200","2,65","-2,93%"
"ISAE3","ISA Energia","8.000","31,80","+1,47%"
"TASA3","Taurus","7.900","8,12","+0,25%"
"OSXB3","OSX Brasil","7.700","3,29","-4,36%"
"CLSC4","Celesc","7.400","78,55","+0,04%"
"TPIS3","Triunfo","7.400","4,92","-1,40%"
"ENGI3","Energisa","6.700","10,65","+0,76%"
"AMAR11","Lojas Marisa","5.900","0,55","+10,00%"
"WHRL4","Whirlpool","5.300","4,14","-0,24%"
"BGIP4","Banese","5.100","26,49","+10,38%"
"ALUP3","Alupar","4.500","9,22","+0,55%"
"BRSR3","Banrisul","4.300","11,45","-1,55%"
"CEBR3","CEB","3.900","15,89","+0,63%"
"OIBR4","Oi","3.900","8,65","+0,12%"
"PTNT4","Pettenati","3.800","5,61","-0,71%"
"UNIP3","Unipar","3.700","46,98","-0,57%"
"HAGA4","Haga","3.700","1,19","+0,00%"
"HAGA3","Haga","3.200","2,20","-1,79%"
"ENGI4","Energisa","3.100","6,62","+0,61%"
"WEST3","Westwing","2.600","4,55","+0,66%"
"PTNT3","Pettenati","2.400","8,80","+10,28%"
"PINE3","Banco Pine","1.800","4,15","-2,81%"
"NUTR3","Nutriplant","1.700","3,77","+3,86%"
"TELB4","Telebras","1.500","6,80","-2,86%"
"RPAD3","Alfa Holdings","1.500","4,51","-6,04%"
"NEXP3","Brasil Brokers","1.500","3,75","-1,32%"
"CTSA3","Santanense","1.400","1,39","-2,11%"
"EPAR3","Embpar Participações","1.300","5,23","-0,19%"
"ALPA3","Alpargatas","1.200","5,86","+0,17%"
"DOHL4","Döhler","1.200","4,00","+0,00%"
"FRIO3","Metalfrio","1.100","289,01","-2,59%"
"EQMA3B","Equatorial Maranhão","1.100","24,00","+0,00%"
"MNDL3","Mundial","1.100","16,50","+0,67%"
"VSTE3","LE LIS BLANC","1.100","6,53","-1,06%"
"AVLL3","Alphaville","1.100","2,45","-0,81%"
"WHRL3","Whirlpool","900","3,80","+0,00%"
"ESTR4","Estrela","900","3,50","-5,15%"
"CGRA3","Grazziotin","800","26,04","+0,00%"
"CTKA4","Karsten","800","21,90","+0,00%"
"CRPG5","Tronox Pigmentos","800","19,01","-3,89%"
"CGAS5","Comgás","700","125,77","-0,89%"
"CEBR6","CEB","700","17,38","-0,11%"
"DEXP4","Dexxos","700","8,60","+0,94%"
"MGEL4","Mangels","700","7,25","+0,00%"
"REDE3","Rede Energia","700","6,32","+0,32%"
"SNSY5","Sansuy","700","3,52","+0,57%"
"RPMG3","Refinaria de Manguinhos","700","2,88","+0,00%"
"CGRA4","Grazziotin","600","26,13","+0,04%"
"BIOM11","Biomm","600","0,77","-4,94%"
"UNIP5","Unipar","500","47,22","-4,63%"
"MNPR3","Minupar","500","26,49","-0,38%"
"BPAC3","Banco BTG Pactual","500","15,72","+1,03%"
"BSLI4","Banco de Brasília","500","7,02","+0,29%"
"BDLL3","Bardella","400","9,52","+0,21%"
"BEES4","Banestes","400","8,47","+0,59%"
"CTSA4","Santanense","400","0,86","-2,27%"
"BAZA3","Banco da Amazônia","300","86,50","+0,97%"
"RSUL4","Metalúrgica Riosulense","300","54,94","+0,86%"
"CEBR5","CEB","300","15,40","-0,06%"
"EALT3","Electro Aço Altona","300","13,99","+0,00%"
"ENMT3","Energisa MT","200","80,90","+2,78%"
"TKNO4","Tekno","200","65,90","+1,38%"
"EKTR4","Elektro","200","53,64","+7,28%"
"AHEB3","São Paulo Turismo","200","38,00","+0,00%"
"GPAR3","CELGPAR","200","25,03","+0,00%"
"BMIN4","Banco Mercantil de Investimentos","200","17,50","+4,79%"
"BALM4","Baumer","200","10,60","+3,11%"
"DOHL3","Döhler","200","7,02","-6,40%"
"CGAS3","Comgás","100","126,60","+0,00%"
"MTSA4","Metisa","100","37,90","+1,88%"
"GEPA4","Rio Paranapanema Energia","100","29,00","+1,40%"
"WLMM4","WLM","100","28,36","-2,68%"
"BGIP3","Banese","100","25,50","+1,47%"
"BMIN3","Banco Mercantil de Investimentos","100","18,00","+0,00%"
"BPAC5","Banco BTG Pactual","100","7,29","-0,68%"
"AFLT3","Afluente T","100","7,07","-0,56%"
"HETA4","Hercules","100","5,61","+2,75%"
"MAPT4","Cemepe","100","4,87","+0,00%"
"HOOT4","Hotéis Othon","100","2,42","+7,56%"
"PPLA11","PPLA","77","1,15","+1,77%"
"BMKS3","Monark","7","345,04","+4,56%"
"FIEI3","Fica","2.700","9,00","-8,16%"
"CEDO4","Cedro Têxtil","1.900","19,51","-4,41%"
"TELB3","Telebras","1.800","11,50","-0,86%"
"FESA3","Ferbasa","600","12,75","-3,04%"
"BMEB3","Banco Mercantil do Brasil","400","31,00","+2,31%"
"GEPA3","Rio Paranapanema Energia","400","28,76","-7,23%"
"CRPG6","Tronox Pigmentos","400","19,98","-0,05%"
"HBTS5","Habitasul","300","28,78","-0,76%"
"MWET4","Wetzel","200","10,11","+0,30%"
"CEEB3","COELBA","100","38,00","+0,00%"
"PATI3","Panatlântica","100","26,00","+4,00%"
"EQPA5","Equatorial Energia Pará","100","7,60","-5,00%"
"BSLI3","Banco de Brasília","100","7,49","+0,00%"
"GSHP3","General Shopping & Outlets","100","6,00","+0,00%"
"PSVM11","PORTO VM","3.000","4,20","-1,18%"
"RPAD5","Alfa Holdings","1.700","6,90","-1,43%"
"WLMM3","WLM","800","25,21","+1,45%"
"LIPR3","Eletropar","300","41,30","-1,67%"
"ELET5","Eletrobras","100","78,00","-5,53%"
"CLSC3","Celesc","100","77,00","+0,00%"
"AHEB6","São Paulo Turismo","100","42,00","+2,44%"
"MRSA3B","MRS Logística","100","31,00","-3,12%"
"BRKM6","Braskem","100","8,00","+0,00%"
